Type,Cost,Amount,Coin,Fees,Status,Date,Decode,Exchange
Buy,50.00,1.22383895,LTC,1.99,COMPLETED,"November 12, 2018",GBP,Coinbase
Buy,100.00,0.20994322,ETH,3.84,COMPLETED,"April 22, 2018",GBP,Coinbase
Buy,100.00,0.74024073,LTC,3.84,COMPLETED,"March 09, 2018",GBP,Coinbase
Buy,100.00,0.16042381,ETH,3.84,COMPLETED,"February 25, 2018",GBP,Coinbase
Buy,50.00,0.42684324,LTC,1.99,COMPLETED,"February 11, 2018",GBP,Coinbase
Buy,100.00,1.10074779,LTC,3.84,COMPLETED,"February 02, 2018",GBP,Coinbase
Buy,50.00,0.35601117,LTC,1.99,COMPLETED,"January 16, 2018",GBP,Coinbase
Buy,50.00,0.35094832,LTC,1.99,CANCELED,"January 16, 2018",GBP,Coinbase
Buy,218.51,1.08027258,LTC,3.21,COMPLETED,"January 11, 2018",EUR,Coinbase
Sell,132.16,0.13270659,ETH,2.99,COMPLETED,"January 11, 2018",EUR,Coinbase
Sell,86.35,0.00784666,BTC,2.99,COMPLETED,"January 11, 2018",EUR,Coinbase
Buy,30.00,0.14880453,LTC,1.99,COMPLETED,"January 09, 2018",GBP,Coinbase
Buy,20.00,0.08796323,LTC,1.49,COMPLETED,"January 06, 2018",GBP,Coinbase
Buy,100.00,0.13270659,ETH,3.84,COMPLETED,"January 05, 2018",GBP,Coinbase
Buy,100.00,0.00784666,BTC,3.84,COMPLETED,"January 05, 2018",GBP,Coinbase
Buy,100.00,0.00782222,BTC,3.84,CANCELED,"January 05, 2018",GBP,Coinbase
Buy,300.00,20,QKC,0.3,COMPLETED,"June 7, 2018",INR,WazirX
Buy,200.00,20,QKC,0.2,COMPLETED,"June 20, 2018",INR,WazirX
Buy,160.00,20,QKC,0.16,COMPLETED,"June 20, 2018",INR,WazirX
Buy,168.00,24,QKC,0.168,COMPLETED,"June 23, 2018",INR,WazirX
Buy,200.00,40,QKC,0.2,COMPLETED,"July 14, 2018",INR,WazirX
