"txid","ordertxid","pair","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers"
"TVD4TH-NYURO-KPW3P7","OOJIBW-EBKGU-OUHF7G","XXRPZEUR","2018-01-04 20:00:11.9012","buy","limit",2.37500000,95.00000000,0.15200000,40.00000000,0.00000000,"","LNULW2-RGFEU-CJRQOX,LE36GO-MD63B-4IWH4G"
"TFMFRC-EUJXL-7EED3W","OOXBKW-WMOSX-I7546L","BCHEUR","2018-01-08 14:59:57.2465","buy","limit",1920.000000,3.840000,0.006144,0.00200000,0.000000,"","L2K2OQ-MMZLD-CHPUW3,L6JNH6-VNPCW-O23WUD"
"TAQDFR-NWLGZ-6LVNC6","OQAN6V-RD3TM-F7KH3S","XLTCXXBT","2018-02-02 19:54:28.7817","sell","limit",0.01460000,0.01457668,0.00002332,0.99840256,0.00000000,"","LQSTWQ-CMNPX-XLBTUG,L45G5J-7NYCT-RECDRW"
"TEPVD2-WYXYK-D2VIKP","OQAN6V-RD3TM-F7KH3S","XLTCXXBT","2018-02-02 19:54:28.7844","sell","limit",0.01460000,0.00002329,0.00000004,0.00159489,0.00000000,"","LDFNJV-HBTR3-HNDCUS,LL5V7K-HTF6Y-DUAWOS"
"TBTRKI-PDHG6-5DGI3L","OQAN6V-RD3TM-F7KH3S","XLTCXXBT","2018-02-02 19:54:28.7885","sell","limit",0.01460000,0.00000004,0.00000000,0.00000255,0.00000000,"","L5CUSJ-OZRZE-HREQFX,L5RN3Q-FG2IT-VRWRQR"
"T5WOAO-VOAIR-Q2HKDJ","O5ZDCV-JEGTC-PHBZNZ","XXLMXXBT","2018-02-02 20:06:40.3207","buy","limit",0.000045000,0.013500000,0.000021600,300.00000000,0.000000000,"","LO2Y6U-DI5ZQ-Y5W7BA,LKVIBD-OOPYW-I5ZA22"
"TPTPPD-LJBWX-QEDFMZ","OB36OW-ODVKN-PTCOIW","XLTCXXBT","2018-03-02 11:57:41.6501","sell","limit",0.01890000,0.00529200,0.00000847,0.28000000,0.00000000,"","LBSPT2-XA2ZA-JPAZVB,LDRI3I-4R64P-MNWKY3"
"TZLBSF-JAGKH-II7M56","OFX6MP-MWPRV-EAWPZN","XXRPXXBT","2018-03-02 12:21:24.0362","buy","limit",0.000082200,0.004932000,0.000012823,60.00000000,0.000000000,"","LJTGSZ-AEOIY-D5Y3DW,LWKB54-G6OH2-CBKXVI"
"T7Z3C2-M55FK-WARQEG","OJRLQM-6OVFS-BBKF62","BCHXBT","2018-04-23 06:21:37.7887","sell","limit",0.15000000,0.00029952,0.00000048,0.00199681,0.00000000,"","LJP634-JJ4ZH-HVTLHL,LMHRRG-ETMS5-LCPNY5"
"TT7PU7-7H7PM-XGDJRU","OJRLQM-6OVFS-BBKF62","BCHXBT","2018-04-23 06:21:37.8058","sell","limit",0.15000000,0.00000048,0.00000000,0.00000318,0.00000000,"","LTCP6X-7DTC3-2RHGKB,LSA7P7-FFRRZ-TQN5F7"
"TIGLG2-XTZF5-5BKNLY","O3R4Z7-364PA-C4EJVU","XLTCXXBT","2018-04-25 00:21:35.4937","buy","limit",0.01690000,0.00169000,0.00000270,0.10000000,0.00000000,"","L5NT57-WOSGE-NH27SA,LHJHAW-JDUX5-75XPVD"
"TQQPKO-RRHYG-Q4JTXY","O2GKL3-KFPZH-AD53S6","ADAEUR","2019-01-20 19:17:06.2221","buy","market",0.037600,0.977600,0.002542,26.00000000,0.000000,"","L37RF3-4USDU-GVBYMJ,LRSZOJ-DPVAH-MVIZMR"
"TJY44M-Y4ABM-ET3FK2","OXMCHW-BY7YA-UXVJYS","ADAEUR","2020-03-13 01:51:36.3896","buy","limit",0.020000,0.020000,0.000032,1.00000000,0.000000,"","LGRHLL-I67SB-45VN35,LT65RF-IDZJ4-3SDIJS"
